consumer	resource	c_bodymass	r_bodymass	r_density	r_biomass	D
Gondogeneia antarctica	Adenocystis utricularis	0,0200			38,4127	2D
Laevilacunaria antarctica	Adenocystis utricularis	0,0309			38,4127	2D
Notothenia coriiceps	Adenocystis utricularis	848,4726			38,4127	2D
Diplasterias brucei	Aequiyoldia eightsii	24,4183	1,7518	393,1111		2D
Gobionotothen gibberifrons	Aequiyoldia eightsii	102,5000	1,7518	393,1111		2D
Notothenia coriiceps	Aequiyoldia eightsii	848,4726	1,7518	393,1111		2D
Odontaster validus	Aequiyoldia eightsii	11,3246	1,7518	393,1111		2D
Ophionotus victoriae	Aequiyoldia eightsii	5,4182	1,7518	393,1111		2D
Trematomus bernacchii	Aequiyoldia eightsii	124,5932	1,7518	393,1111		2D
Trematomus newnesi	Aequiyoldia eightsii	82,7500	1,7518	393,1111		2D
Aequiyoldia eightsii	Aged detritus	1,7518			27,8896	2D
Aglaophamus trissophyllus	Aged detritus	5,9391			27,8896	2D
Cheirimedon femoratus	Aged detritus	0,0053			27,8896	2D
Cumacea	Aged detritus	0,0074			27,8896	2D
Gammaridea	Aged detritus	0,0050			27,8896	2D
Gitanopsis squamosa	Aged detritus	5,6769			27,8896	2D
Gobionotothen gibberifrons	Aged detritus	102,5000			27,8896	2D
Hippomedon kergueleni	Aged detritus	0,0912			27,8896	2D
Laternula elliptica	Aged detritus	11,3304			27,8896	2D
Nemertea	Aged detritus	1,1330			27,8896	2D
Nereididae	Aged detritus	2,1133			27,8896	2D
Notothenia coriiceps	Aged detritus	848,4726			27,8896	3D
Notothenia rossii	Aged detritus	358,0462			27,8896	3D
Odontaster validus	Aged detritus	11,3246			27,8896	2D
Oligochaeta	Aged detritus	0,0006			27,8896	2D
Ophionotus victoriae	Aged detritus	5,4182			27,8896	2D
Orchomenella sp.	Aged detritus	0,0912			27,8896	2D
Ostracoda	Aged detritus	0,0012			27,8896	3D
Paradexamine fissicauda	Aged detritus	0,0912			27,8896	2D
Polychaeta	Aged detritus	2,1133			27,8896	2D
Polynoidae	Aged detritus	3,1574			27,8896	2D
Salpidae	Aged detritus	0,8660			27,8896	3D
Spionidae	Aged detritus	2,1133			27,8896	2D
Sterechinus neumayeri	Aged detritus	48,5810			27,8896	2D
Tanaidacea	Aged detritus	0,1470			27,8896	2D
Terebellidae	Aged detritus	1,6583			27,8896	2D
Ophionotus victoriae	Aglaophamus trissophyllus	5,4182	5,9391	54,3750		2D
Trematomus bernacchii	Aglaophamus trissophyllus	124,5932	5,9391	54,3750		2D
Trematomus newnesi	Aglaophamus trissophyllus	82,7500	5,9391	54,3750		2D
Lindbergichthys nudifrons	Ascidiacea	20,9000	47,6721	10,0890		2D
Notothenia coriiceps	Ascidiacea	848,4726	47,6721	10,0890		2D
