Predator_name,Prey_name
Cassidulinoides parkerianus,Bacillariophyta
Cassidulinoides parkerianus,Detritus
Cassidulinoides parkerianus,Sediment
Cibicides refulgens,Bacillariophyta
Cibicides refulgens,Detritus
Cibicides refulgens,Sediment
Globocassidulina crassa,Bacillariophyta
Globocassidulina crassa,Detritus
Globocassidulina crassa,Sediment
Lenticulina antarctica,Bacillariophyta
Lenticulina antarctica,Detritus
Lenticulina antarctica,Sediment
Neogloboquadriana pachyderma,Bacillariophyta
Neogloboquadriana pachyderma,Detritus
Neogloboquadriana pachyderma,Sediment
Euphausia crystallorophias,Phytoplankton
Euphausia frigida,Bacillariophyta
Euphausia frigida,Zooplankton
Euphausia frigida,Tintinnidae
Euphausia frigida,Foraminifera
Euphausia frigida,Phytoplankton
Euphausia frigida,Copepoda
Euphausia frigida,Pteropoda
Thysanoessa macrura,Bacillariophyta
Thysanoessa macrura,Zooplankton
Thysanoessa macrura,Siphonophora
Thysanoessa macrura,Tintinnidae
Thysanoessa macrura,Foraminifera
Thysanoessa macrura,Phytoplankton
Thysanoessa macrura,Copepoda
Thysanoessa macrura,Pteropoda
Euphausia superba,Bacillariophyta
Euphausia superba,Fragilariopsis
Euphausia superba,Entomoneis sp.
Euphausia superba,Nitzschia sp.
Euphausia superba,Chaetoceros sp.
Euphausia superba,Zooplankton
Euphausia superba,Distephanus sp.
Euphausia superba,Copepoda
Euphausia superba,Oithona sp.
Ampelisca richardsoni,Detritus
Ampelisca richardsoni,Bacillariophyta
Abyssorchomene rossi,Detritus
Abyssorchomene rossi,Bacillariophyta
Abyssorchomene rossi,Polychaeta
Abyssorchomene rossi,Copepoda
Abyssorchomene rossi,Porifera
Abyssorchomene plebs ,Crustacea
Abyssorchomene plebs ,Euphausia superba
Abyssorchomene plebs ,Detritus
Abyssorchomene plebs ,Bacillariophyta
Abyssorchomene nodimanus,Polychaeta
Abyssorchomene nodimanus,Holothuria
Abyssorchomene nodimanus,Fish
Abyssorchomene nodimanus,Octopoda
Abyssorchomene nodimanus,Detritus
Eusirus antarcticus,Copepoda
Eusirus perdentatus,Crustacea
Eusirus perdentatus,Amphipoda
Eusirus perdentatus,Polychaeta
Eusirus perdentatus,Detritus
Alexandrella mixta,Ophiuroidea
Tryphosella murrayi,Mysidacea
Tryphosella murrayi,Dolloidraco longedorsalis
Tryphosella murrayi,Fish
Tryphosella murrayi,Crustacea
Tryphosella murrayi,Amphipoda
Waldeckia obesa ,Amphipoda
Waldeckia obesa ,Eurythenes gryllus
Waldeckia obesa ,Ophiuroidea
Waldeckia obesa ,Hydrozoa
Waldeckia obesa ,Cnidaria
Waldeckia obesa ,Porifera
Waldeckia obesa ,Polychaeta
Waldeckia obesa ,Holothuria
Waldeckia obesa ,Isopoda
Waldeckia obesa ,Crustacea
Waldeckia obesa ,Detritus
Waldeckia obesa ,Necromass
Parschisturella ceruviata ,Detritus
Paramoera walkeri,Ophiuroidea
Epimeriella walkeri,Holothuria
Epimeriella walkeri,Crustacea
Epimeriella walkeri,Porifera
Epimeriella walkeri,Cnidaria
Epimeriella walkeri,Bacillariophyta
Epimeriella walkeri,Detritus
Cyllopus lucasii,Bacillariophyta
Cyllopus lucasii,Zooplankton
Cyllopus lucasii,Tintinnidae
Cyllopus lucasii,Copepoda
Cyllopus lucasii,Oithona sp.
Cyllopus lucasii,Oncaea sp.
Cyllopus lucasii,Calanus propinquus
Cyllopus lucasii,Metridia gerlachei
Cyllopus lucasii,Ostracoda
Cyllopus lucasii,Euphausia superba
Cyllopus lucasii,Coelenterata
Cyllopus lucasii,Pelagobia longicirrata
Cyllopus lucasii,Eukrohnia hamata
Hyperiella dilatata,Bacillariophyta
Hyperiella dilatata,Zooplankton
Hyperiella dilatata,Tintinnidae
Hyperiella dilatata,Copepoda
Hyperiella dilatata,Oithona sp.
Hyperiella dilatata,Oncaea sp.
Hyperiella dilatata,Coelenterata
Vibilia antarctica,Zooplankton
Vibilia stebbingi,Zooplankton
Hyperia macrocephala,Pteropoda
Hyperia macrocephala,Limacina helicina 
Hyperia macrocephala,Salpa thompsoni
Hyperia macrocephala,Coelenterata
Hyperia macrocephala,Scyphozoa
Epimeria similis,Hydrozoa
Epimeria similis,Polychaeta
Epimeria similis,Cnidaria
Epimeria similis,Porifera
Epimeria similis,Bacillariophyta
Epimeria similis,Foraminifera
Epimeria robusta,Euphausiacea
Epimeria robusta,Holothuria
Epimeria robusta,Zooplankton
Epimeria robusta,Crustacea
Epimeria robusta,Amphipoda
Epimeria robusta,Cnidaria
Epimeria robusta,Polychaeta
Epimeria robusta,Taeniogyrus contortus
Epimeria macrodonta,Cnidaria
Epimeria macrodonta,Hydrozoa
Epimeria macrodonta,Urticinopsis antarctica
